HDFC top 100 fund (Growth) SIP Calculation for 3 Years,,,,,
Assuming Investment of Rs 10000 on the first trading day of every month,,,,,
Date,Close,Amount Invested,Shares bought (Assuming partial buying is allowed),,Value of shares bought on 29 March 2023 (SIP returns of last 3 years)
31-07-2023,855.237,0,0,,
01-08-2023,856.643005,10000,11.67347418,,
02-08-2023,846.348999,0,0,,
03-08-2023,841.27301,0,0,,
04-08-2023,846.349976,0,0,,
07-08-2023,849.853027,0,0,,
08-08-2023,849.218018,0,0,,
09-08-2023,853.153015,0,0,,
10-08-2023,849.36499,0,0,,
11-08-2023,844.596008,0,0,,
14-08-2023,844.786987,0,0,,
16-08-2023,847.060974,0,0,,
17-08-2023,843.971008,0,0,,
18-08-2023,841.215027,0,0,,
21-08-2023,845.830994,0,0,,
22-08-2023,847.421997,0,0,,
23-08-2023,850.241028,0,0,,
24-08-2023,848.182983,0,0,,
25-08-2023,842.262024,0,0,,
28-08-2023,845.052002,0,0,,
29-08-2023,845.427979,0,0,,
30-08-2023,845.617981,0,0,,
31-08-2023,841.299011,0,0,,
01-09-2023,849.283997,10000,11.77462431,,
04-09-2023,853.961975,0,0,,
05-09-2023,856.390991,0,0,,
06-09-2023,857.421997,0,0,,
07-09-2023,865.057007,0,0,,
08-09-2023,873.710999,0,0,,
11-09-2023,879.64502,0,0,,
12-09-2023,875.158997,0,0,,
13-09-2023,879.893005,0,0,,
14-09-2023,881.189026,0,0,,
15-09-2023,884.359009,0,0,,
18-09-2023,883.132019,0,0,,
20-09-2023,875.877014,0,0,,
21-09-2023,867.658997,0,0,,
22-09-2023,865.421021,0,0,,
25-09-2023,864.765991,0,0,,
26-09-2023,863.521973,0,0,,
27-09-2023,867.903015,0,0,,
29-09-2023,870.163025,0,0,,
03-10-2023,865.862,10000,11.54918451,,
04-10-2023,857.289001,0,0,,
05-10-2023,861.195007,0,0,,
06-10-2023,865.627014,0,0,,
09-10-2023,859.83197,0,0,,
10-10-2023,869.622986,0,0,,
11-10-2023,873.565002,0,0,,
12-10-2023,874.026001,0,0,,
13-10-2023,873.494995,0,0,,
16-10-2023,873.296997,0,0,,
17-10-2023,876.278992,0,0,,
18-10-2023,869.880981,0,0,,
19-10-2023,867.072021,0,0,,
20-10-2023,863.533997,0,0,,
23-10-2023,851.588013,0,0,,
25-10-2023,844.039001,0,0,,
26-10-2023,834.867981,0,0,,
27-10-2023,845.75,0,0,,
30-10-2023,848.622009,0,0,,
31-10-2023,845.857971,0,0,,
01-11-2023,842.447021,10000,11.87018264,,
02-11-2023,851.643982,0,0,,
03-11-2023,856.552979,0,0,,
06-11-2023,863.611023,0,0,,
07-11-2023,864.939026,0,0,,
08-11-2023,866.205017,0,0,,
09-11-2023,866.515015,0,0,,
10-11-2023,869.21698,0,0,,
13-11-2023,873.671021,0,0,,
15-11-2023,882.872986,0,0,,
16-11-2023,885.666016,0,0,,
17-11-2023,883.213013,0,0,,
20-11-2023,883.140991,0,0,,
21-11-2023,885.757019,0,0,,
22-11-2023,886.723022,0,0,,
23-11-2023,886.117981,0,0,,
24-11-2023,886.685974,0,0,,
28-11-2023,890.828003,0,0,,
29-11-2023,899.974976,0,0,,
30-11-2023,903.551025,0,0,,
01-12-2023,913.784973,10000,10.9434936,,
04-12-2023,932.036011,0,0,,
05-12-2023,938.794006,0,0,,
06-12-2023,941.283997,0,0,,
07-12-2023,939.755005,0,0,,
08-12-2023,943.505981,0,0,,
11-12-2023,946.359009,0,0,,
12-12-2023,940.864014,0,0,,
13-12-2023,946.111023,0,0,,
14-12-2023,956.757996,0,0,,
15-12-2023,966.166992,0,0,,
18-12-2023,964.265991,0,0,,
19-12-2023,967.559021,0,0,,
20-12-2023,950.624023,0,0,,
21-12-2023,956.674011,0,0,,
22-12-2023,960.947021,0,0,,
26-12-2023,966.226013,0,0,,
27-12-2023,974.085022,0,0,,
28-12-2023,981.518005,0,0,,
29-12-2023,979.335999,0,0,,
01-01-2024,980.142029,10000,10.20260299,,
02-01-2024,977.872986,0,0,,
03-01-2024,975.338989,0,0,,
04-01-2024,985.13501,0,0,,
05-01-2024,986.25,0,0,,
08-01-2024,977.546997,0,0,,
09-01-2024,979.307007,0,0,,
10-01-2024,981.127014,0,0,,
11-01-2024,983.010986,0,0,,
12-01-2024,993.434998,0,0,,
15-01-2024,1003.744019,0,0,,
16-01-2024,999.596008,0,0,,
17-01-2024,981.648987,0,0,,
18-01-2024,979.390015,0,0,,
19-01-2024,988.945007,0,0,,
23-01-2024,973.54303,0,0,,
24-01-2024,983.106018,0,0,,
25-01-2024,980.510986,0,0,,
29-01-2024,998.866028,0,0,,
30-01-2024,988.372986,0,0,,
31-01-2024,994.989014,0,0,,
01-02-2024,993.846008,10000,10.06192098,,
02-02-2024,999.744995,0,0,,
05-02-2024,1000.317993,0,0,,
06-02-2024,1006.791992,0,0,,
07-02-2024,1007.094971,0,0,,
08-02-2024,999.469971,0,0,,
09-02-2024,998.638,0,0,,
12-02-2024,987.177002,0,0,,
13-02-2024,996.492981,0,0,,
14-02-2024,1002.460999,0,0,,
15-02-2024,1005.591003,0,0,,
16-02-2024,1011.541016,0,0,,
19-02-2024,1012.466003,0,0,,
20-02-2024,1015.41803,0,0,,
21-02-2024,1007.869019,0,0,,
22-02-2024,1016.151978,0,0,,
23-02-2024,1016.388,0,0,,
26-02-2024,1012.64502,0,0,,
27-02-2024,1016.955017,0,0,,
28-02-2024,1006.880981,0,0,,
